timestamp,experiment_id,provider,model,input_tokens,output_tokens,cost_usd,run_id
2026-09-25T20:56:04.530211+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,219,8,2.5100000000000004e-05,9c6d800a7635
2026-09-25T20:56:05.259503+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,362,18,4.3400000000000005e-05,9c6d800a7635
2026-09-25T20:56:05.901665+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,363,18,4.35e-05,9c6d800a7635
2026-09-25T20:56:06.623973+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,292,18,3.6400000000000004e-05,9c6d800a7635
2026-09-25T20:56:07.237492+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,219,18,2.9100000000000003e-05,9c6d800a7635
2026-09-25T20:56:07.906733+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,231,18,3.0300000000000005e-05,9c6d800a7635
2026-09-25T20:56:08.538853+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,213,18,2.85e-05,9c6d800a7635
2026-09-25T20:56:09.229037+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,261,18,3.33e-05,9c6d800a7635
2026-09-25T20:56:09.840584+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,304,18,3.7600000000000006e-05,9c6d800a7635
2026-09-25T20:56:10.461847+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,410,18,4.82e-05,9c6d800a7635
2026-09-25T20:56:11.102414+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,246,18,3.18e-05,9c6d800a7635
2026-09-25T20:56:11.863970+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,266,18,3.38e-05,9c6d800a7635
2026-09-25T20:56:12.578783+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,279,18,3.51e-05,9c6d800a7635
2026-09-25T20:56:13.209773+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,218,8,2.5e-05,9c6d800a7635
2026-09-25T20:56:13.842307+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,230,18,3.0200000000000002e-05,9c6d800a7635
2026-09-25T20:56:14.802544+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,267,18,3.39e-05,9c6d800a7635
2026-09-25T20:56:15.387990+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,303,8,3.35e-05,9c6d800a7635
2026-09-25T20:56:16.096609+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,224,8,2.5600000000000002e-05,9c6d800a7635
2026-09-25T20:56:16.746014+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,219,8,2.5100000000000004e-05,9c6d800a7635
2026-09-25T20:56:17.355121+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,475,18,5.47e-05,9c6d800a7635
2026-09-25T20:56:17.940441+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,558,8,5.9e-05,9c6d800a7635
2026-09-25T20:56:18.548525+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,236,8,2.68e-05,9c6d800a7635
2026-09-25T20:56:19.194526+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,254,8,2.86e-05,9c6d800a7635
2026-09-25T20:56:19.881778+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,210,8,2.4200000000000002e-05,9c6d800a7635
2026-09-25T20:56:20.469207+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,222,8,2.54e-05,9c6d800a7635
2026-09-25T20:56:21.134459+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,235,18,3.07e-05,9c6d800a7635
2026-09-25T20:56:21.834934+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,247,18,3.19e-05,9c6d800a7635
2026-09-25T20:56:22.475701+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,259,18,3.3100000000000005e-05,9c6d800a7635
2026-09-25T20:56:23.393343+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,262,18,3.3400000000000005e-05,9c6d800a7635
2026-09-25T20:56:24.117893+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,289,18,3.6099999999999997e-05,9c6d800a7635
2026-09-25T20:56:24.737579+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,270,8,3.0200000000000002e-05,9c6d800a7635
2026-09-25T20:56:25.490585+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,254,8,2.86e-05,9c6d800a7635
2026-09-25T20:56:26.144040+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,237,8,2.69e-05,9c6d800a7635
2026-09-25T20:56:26.911163+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,293,18,3.6500000000000006e-05,9c6d800a7635
2026-09-25T20:56:27.645160+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,237,8,2.69e-05,9c6d800a7635
2026-09-25T20:56:28.281085+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,277,18,3.49e-05,9c6d800a7635
2026-09-25T20:56:28.915785+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,293,8,3.2500000000000004e-05,9c6d800a7635
2026-09-25T20:56:29.576476+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,208,18,2.8000000000000003e-05,9c6d800a7635
2026-09-25T20:56:30.263230+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,249,8,2.81e-05,9c6d800a7635
2026-09-25T20:56:30.917724+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,268,18,3.4e-05,9c6d800a7635
2026-09-25T20:56:31.867392+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,216,18,2.8800000000000002e-05,9c6d800a7635
2026-09-25T20:56:32.551668+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,306,18,3.7800000000000004e-05,9c6d800a7635
2026-09-25T20:56:33.203639+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,207,18,2.79e-05,9c6d800a7635
2026-09-25T20:56:33.874092+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,230,8,2.6200000000000003e-05,9c6d800a7635
2026-09-25T20:56:34.581189+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,309,18,3.81e-05,9c6d800a7635
2026-09-25T20:56:35.264410+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,263,18,3.35e-05,9c6d800a7635
2026-09-25T20:56:35.971665+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,260,18,3.32e-05,9c6d800a7635
2026-09-25T20:56:36.636161+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,236,18,3.08e-05,9c6d800a7635
2026-09-25T20:56:37.221098+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,244,8,2.76e-05,9c6d800a7635
2026-09-25T20:56:37.839314+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,241,18,3.13e-05,9c6d800a7635
2026-09-25T20:56:38.604054+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,279,18,3.51e-05,9c6d800a7635
2026-09-25T20:56:39.339668+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,450,18,5.22e-05,9c6d800a7635
2026-09-25T20:56:39.949045+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,302,18,3.74e-05,9c6d800a7635
2026-09-25T20:56:40.503034+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,221,8,2.5300000000000002e-05,9c6d800a7635
2026-09-25T20:56:41.214813+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,219,18,2.9100000000000003e-05,9c6d800a7635
2026-09-25T20:56:41.882706+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,226,8,2.58e-05,9c6d800a7635
2026-09-25T20:56:42.536543+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,271,18,3.43e-05,9c6d800a7635
2026-09-25T20:56:43.147116+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,320,18,3.9200000000000004e-05,9c6d800a7635
2026-09-25T20:56:43.838811+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,255,18,3.27e-05,9c6d800a7635
2026-09-25T20:56:44.457863+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,253,8,2.8500000000000005e-05,9c6d800a7635
2026-09-25T20:56:45.159279+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,357,18,4.29e-05,9c6d800a7635
2026-09-25T20:56:45.778469+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,437,18,5.0900000000000004e-05,9c6d800a7635
2026-09-25T20:56:46.512410+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,223,18,2.95e-05,9c6d800a7635
2026-09-25T20:56:47.252106+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,252,18,3.24e-05,9c6d800a7635
2026-09-25T20:56:48.035216+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,226,18,2.98e-05,9c6d800a7635
2026-09-25T20:56:48.693722+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,229,8,2.61e-05,9c6d800a7635
2026-09-25T20:56:49.401803+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,304,18,3.7600000000000006e-05,9c6d800a7635
2026-09-25T20:56:50.136379+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,352,18,4.24e-05,9c6d800a7635
2026-09-25T20:56:50.845388+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,218,18,2.9e-05,9c6d800a7635
2026-09-25T20:56:51.443847+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,218,8,2.5e-05,9c6d800a7635
2026-09-25T20:56:52.084041+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,295,18,3.6700000000000004e-05,9c6d800a7635
2026-09-25T20:56:52.758967+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,261,18,3.33e-05,9c6d800a7635
2026-09-25T20:56:53.614993+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,269,18,3.41e-05,9c6d800a7635
2026-09-25T20:56:54.316004+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,252,8,2.8400000000000003e-05,9c6d800a7635
2026-09-25T20:56:54.987106+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,210,8,2.4200000000000002e-05,9c6d800a7635
2026-09-25T20:56:55.698676+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,210,18,2.82e-05,9c6d800a7635
2026-09-25T20:56:56.422373+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,462,18,5.3400000000000004e-05,9c6d800a7635
2026-09-25T20:56:57.108697+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,417,18,4.89e-05,9c6d800a7635
2026-09-25T20:56:58.091509+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,243,8,2.75e-05,9c6d800a7635
2026-09-25T20:56:58.733323+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,279,8,3.11e-05,9c6d800a7635
2026-09-25T20:56:59.400681+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,225,8,2.57e-05,9c6d800a7635
2026-09-25T20:56:59.999027+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,261,18,3.33e-05,9c6d800a7635
2026-09-25T20:57:00.767117+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,208,18,2.8000000000000003e-05,9c6d800a7635
2026-09-25T20:57:01.352441+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,259,18,3.3100000000000005e-05,9c6d800a7635
